ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/83674,"Addison, Joseph, 1672-1719",http://n2t.net/ark:/99166/w6h136w3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/83674
/agents/people/70613,"Adler, Alfred, 1870-1937",http://n2t.net/ark:/99166/w6b292cs,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/70613
/agents/people/73692,"Adler, Felix, 1851-1933",http://n2t.net/ark:/99166/w6v69k3f,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73692
/agents/people/57718,"Adler, Julius Ochs, 1892-1955",http://n2t.net/ark:/99166/w6572mqd,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57718
/agents/people/78242,"Adolphus, John Leycester, 1795-1862",http://n2t.net/ark:/99166/w6dr4bmv,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78242
/agents/people/79985,"Adolphus, John, 1768-1845",http://n2t.net/ark:/99166/w6d61bzp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/79985
/agents/people/58691,"Adye, Stephen Payne, -1794",http://n2t.net/ark:/99166/w6qz3d03,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58691
/agents/people/60170,"Agar, Herbert, 1897-1980",http://n2t.net/ark:/99166/w61j9t6p,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60170
/agents/people/62152,"Agard, Walter R. (Walter Raymond), 1894-1978",http://n2t.net/ark:/99166/w69g81g5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/62152
/agents/people/77021,"Agassiz, Louis, 1807-1873",http://n2t.net/ark:/99166/w68h99sx,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/77021
/agents/people/90281,"Aghib Levi D'Ancona, Flora",http://n2t.net/ark:/99166/w6x76dq8,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/90281
/agents/people/71550,"Agnew, John Holmes, 1804-1865",http://n2t.net/ark:/99166/w6n01wmx,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/71550
/agents/people/61491,"Agramonte y Pichardo, Roberto Daniel, 1904-",http://n2t.net/ark:/99166/w6rv4f79,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/61491
/agents/people/87413,"Ahmed, Aziz, 1906-",http://n2t.net/ark:/99166/w6n61111,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87413
/agents/people/68498,"Ahrens, Georg",http://n2t.net/ark:/99166/w69t4g3j,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/68498
/agents/people/81477,"Aicard, Jean, 1848-1921",http://n2t.net/ark:/99166/w6m94zq1,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/81477
/agents/people/79664,"Aiken, Alfred Lawrence, 1870-1946",http://n2t.net/ark:/99166/w6v1451z,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/79664
/agents/people/57741,"Aiken, William Appleton, 1907-1957",http://n2t.net/ark:/99166/w68s8sg2,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57741
/agents/people/86688,"Aikin, John, 1747-1822",http://n2t.net/ark:/99166/w6rx9dc8,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/86688
/agents/people/85949,"Aikman, Walter M., 1857-1939",http://n2t.net/ark:/99166/w6fj2mn3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/85949
/agents/people/63528,"Ainsworth, Fred C. (Fred Crayton), 1852-1934",http://n2t.net/ark:/99166/w6dw289m,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/63528
/agents/people/86386,"Aitchison, Clyde B. (Clyde Bruce), 1875-1962",http://n2t.net/ark:/99166/w6rf73j6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/86386
/agents/people/62180,"Akeley, Mary L. Jobe (Mary Lenore Jobe), 1878-1966",http://n2t.net/ark:/99166/w6x92m2d,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/62180
/agents/people/65241,"Akerman, John Yonge, 1806-1873",http://n2t.net/ark:/99166/w6068629,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/65241
/agents/people/69207,"Alabaster, Henry, -1884",http://n2t.net/ark:/99166/w6gr49rv,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/69207
/agents/people/75949,"Alamán, Lucas, 1792-1853",http://n2t.net/ark:/99166/w6tr6rkv,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/75949
/agents/people/82388,"Albemarle, Arnold Joost van Keppel, Earl of, 1669-1718",http://n2t.net/ark:/99166/w6sx70bd,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/82388
/agents/people/89673,"Albemarle, Christopher Monck, Duke of, 1653-1688",http://n2t.net/ark:/99166/w67379zz,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/89673
/agents/people/90347,"Albert, Carl Bert, 1908-2000",http://n2t.net/ark:/99166/w6sr9pqn,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/90347
/agents/people/76201,"Albert, Prince Consort, consort of Victoria, Queen of Great Britain, 1819-1861",http://n2t.net/ark:/99166/w6s00234,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76201
